,01_data(05~18),,,,02_data(05~18),,,,,03_data(14~18),,,,,,,,,"06_data(05,10,15,16,17,18)",,,,,,,,,11_data(13~18),,,,,,,,,,,13_data(15~18),,,,,,07_data(10~18),,,08_data(13~18),04_data(10~18),,,,,,,,,,,,,,,,,,,,,05_data(10~18),,,,,,
년도,자치구,사람 수,남자수,여자수,유기견수,복귀,입양분양,폐사안락사,계류기증,있다,없다,동물판매업소,유상입양,무상입양,인터넷을 통해 구입,유기동물 입양,원래 기르던 동물이 낳은 새끼,기타,계,1인가구,2인가구,3인가구,4인가구,5인 가구,6인가구,7인이상 가구,평균가구원수,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상,합계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내 주택,행정구역면적(㎡),공원면적(㎡),공원율(%),공원 계,합계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내 주택,주택이외의 거처,합계_남,합계_여,단독주택_남,단독주택_여,아파트_남,아파트_여,연립주택_남,연립주택_여,다세대주택_남,다세대주택_여,비거주용 건물내 주택_남,비거주용 건물내 주택_여,주택이외의 거처_남,주택이외의 거처_여,20세미만,20대,30대,40대,50대,60대,70대이상
2008,광진구,375482,186237,189245,417,36,34,347,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,동대문구,370250,186744,183506,371,35,32,304,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,중랑구,427871,214351,213520,388,25,19,344,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,성북구,473357,234730,238627,658,116,317,211,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,강북구,342274,169887,172387,534,72,258,192,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,도봉구,373936,185376,188560,351,34,32,283,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,노원구,615981,301982,313999,365,47,23,293,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,은평구,458401,226636,231765,529,54,36,439,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,서대문구,331688,162350,169338,525,70,335,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,마포구,385119,188327,196792,414,33,62,311,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,양천구,502343,250516,251827,684,99,374,203,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,강서구,576848,284817,292031,576,58,58,458,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,구로구,420795,212461,208334,567,86,150,286,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,금천구,247320,125931,121389,243,21,11,208,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,영등포구,408099,205732,202367,350,25,24,297,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,동작구,400866,197951,202915,561,69,177,302,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,관악구,534556,271762,262794,627,64,168,395,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,서초구,406320,197570,208750,281,34,66,168,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,강남구,557832,268963,288869,511,133,244,80,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,송파구,668962,329262,339700,423,32,30,361,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,강동구,469024,235333,233691,675,108,345,156,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
