기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2014,"서울특별시 성동구 성수2가제1동(1120067000)",계    ,19699,1972,15413,8180,2314,1517,626,171
2014,"서울특별시 성동구 성수2가제1동(1120067000)",남    ,10299,1025,8235,4407,1039,749,251,39
2014,"서울특별시 성동구 성수2가제1동(1120067000)",여    ,9400,947,7178,3773,1275,768,375,132
2014,"서울특별시 성동구 성수2가제3동(1120069000)",계    ,11982,1156,9334,5171,1492,975,413,104
2014,"서울특별시 성동구 성수2가제3동(1120069000)",남    ,6219,580,4942,2736,697,484,178,35
2014,"서울특별시 성동구 성수2가제3동(1120069000)",여    ,5763,576,4392,2435,795,491,235,69
2014,"서울특별시 성동구 송정동(1120072000)",계    ,11802,1173,9283,4968,1346,862,401,83
2014,"서울특별시 성동구 송정동(1120072000)",남    ,6258,621,5034,2741,603,423,156,24
2014,"서울특별시 성동구 송정동(1120072000)",여    ,5544,552,4249,2227,743,439,245,59
2014,"서울특별시 성동구 용답동(1120079000)",계    ,16236,1404,12622,6826,2210,1465,635,110
2014,"서울특별시 성동구 용답동(1120079000)",남    ,8642,737,6895,3770,1010,705,277,28
2014,"서울특별시 성동구 용답동(1120079000)",여    ,7594,667,5727,3056,1200,760,358,82
2014,"서울특별시 광진구 (1121500000)",계    ,363354,41863,282683,158644,38808,25203,10774,2831
2014,"서울특별시 광진구 (1121500000)",남    ,178738,21511,139932,78694,17295,12083,4406,806
2014,"서울특별시 광진구 (1121500000)",여    ,184616,20352,142751,79950,21513,13120,6368,2025
2014,"서울특별시 광진구 화양동(1121571000)",계    ,21423,1172,18195,11338,2056,1327,582,147
2014,"서울특별시 광진구 화양동(1121571000)",남    ,10449,581,8967,5872,901,620,237,44
2014,"서울특별시 광진구 화양동(1121571000)",여    ,10974,591,9228,5466,1155,707,345,103
2014,"서울특별시 광진구 군자동(1121573000)",계    ,21048,1928,16704,9706,2416,1621,648,147
2014,"서울특별시 광진구 군자동(1121573000)",남    ,10534,1003,8457,4981,1074,783,257,34
2014,"서울특별시 광진구 군자동(1121573000)",여    ,10514,925,8247,4725,1342,838,391,113
2014,"서울특별시 광진구 중곡제1동(1121574000)",계    ,16160,1463,12813,7298,1884,1291,462,131
2014,"서울특별시 광진구 중곡제1동(1121574000)",남    ,8053,761,6442,3680,850,606,212,32
2014,"서울특별시 광진구 중곡제1동(1121574000)",여    ,8107,702,6371,3618,1034,685,250,99
2014,"서울특별시 광진구 중곡제2동(1121575000)",계    ,22350,2449,17532,9763,2369,1606,591,172
2014,"서울특별시 광진구 중곡제2동(1121575000)",남    ,10918,1264,8599,4764,1055,769,249,37
2014,"서울특별시 광진구 중곡제2동(1121575000)",여    ,11432,1185,8933,4999,1314,837,342,135
2014,"서울특별시 광진구 중곡제3동(1121576000)",계    ,18235,1847,14235,7724,2153,1428,588,137
2014,"서울특별시 광진구 중곡제3동(1121576000)",남    ,9147,949,7246,3959,952,681,234,37
2014,"서울특별시 광진구 중곡제3동(1121576000)",여    ,9088,898,6989,3765,1201,747,354,100
2014,"서울특별시 광진구 중곡제4동(1121577000)",계    ,31607,3415,24516,12972,3676,2481,918,277
2014,"서울특별시 광진구 중곡제4동(1121577000)",남    ,15640,1824,12169,6449,1647,1201,370,76
2014,"서울특별시 광진구 중곡제4동(1121577000)",여    ,15967,1591,12347,6523,2029,1280,548,201
2014,"서울특별시 광진구 능동(1121578000)",계    ,11159,1055,8827,5662,1277,841,340,96
2014,"서울특별시 광진구 능동(1121578000)",남    ,5267,560,4131,2692,576,391,154,31
2014,"서울특별시 광진구 능동(1121578000)",여    ,5892,495,4696,2970,701,450,186,65
2014,"서울특별시 광진구 광장동(1121581000)",계    ,36985,7207,26931,15036,2847,1615,958,274
2014,"서울특별시 광진구 광장동(1121581000)",남    ,17974,3651,13082,6988,1241,754,402,85
2014,"서울특별시 광진구 광장동(1121581000)",여    ,19011,3556,13849,8048,1606,861,556,189
2014,"서울특별시 광진구 자양제1동(1121582000)",계    ,23015,2278,18131,10276,2606,1687,721,198
2014,"서울특별시 광진구 자양제1동(1121582000)",남    ,11374,1202,9049,5163,1123,761,305,57
2014,"서울특별시 광진구 자양제1동(1121582000)",여    ,11641,1076,9082,5113,1483,926,416,141
2014,"서울특별시 광진구 자양제2동(1121583000)",계    ,28163,3545,21720,11939,2898,1920,779,199
2014,"서울특별시 광진구 자양제2동(1121583000)",남    ,14030,1842,10873,5961,1315,942,312,61
2014,"서울특별시 광진구 자양제2동(1121583000)",여    ,14133,1703,10847,5978,1583,978,467,138
2014,"서울특별시 광진구 자양제3동(1121584000)",계    ,31046,4571,23524,12832,2951,1754,934,263
2014,"서울특별시 광진구 자양제3동(1121584000)",남    ,15117,2302,11510,6173,1305,861,361,83
2014,"서울특별시 광진구 자양제3동(1121584000)",여    ,15929,2269,12014,6659,1646,893,573,180
2014,"서울특별시 광진구 자양제4동(1121584700)",계    ,23862,1885,18758,10034,3219,2113,897,209
2014,"서울특별시 광진구 자양제4동(1121584700)",남    ,12134,940,9739,5334,1455,1031,361,63
2014,"서울특별시 광진구 자양제4동(1121584700)",여    ,11728,945,9019,4700,1764,1082,536,146
2014,"서울특별시 광진구 구의제1동(1121585000)",계    ,22475,2017,17993,10690,2465,1626,693,146
2014,"서울특별시 광진구 구의제1동(1121585000)",남    ,10857,1055,8711,5251,1091,762,285,44
2014,"서울특별시 광진구 구의제1동(1121585000)",여    ,11618,962,9282,5439,1374,864,408,102
2014,"서울특별시 광진구 구의제2동(1121586000)",계    ,26156,3365,19745,10848,3046,2021,838,187
2014,"서울특별시 광진구 구의제2동(1121586000)",남    ,12828,1715,9733,5437,1380,985,349,46
2014,"서울특별시 광진구 구의제2동(1121586000)",여    ,13328,1650,10012,5411,1666,1036,489,141
2014,"서울특별시 광진구 구의제3동(1121587000)",계    ,29670,3666,23059,12526,2945,1872,825,248
2014,"서울특별시 광진구 구의제3동(1121587000)",남    ,14416,1862,11224,5990,1330,936,318,76
2014,"서울특별시 광진구 구의제3동(1121587000)",여    ,15254,1804,11835,6536,1615,936,507,172
2014,"서울특별시 동대문구 (1123000000)",계    ,363687,41201,271730,147152,50756,32483,14741,3532
2014,"서울특별시 동대문구 (1123000000)",남    ,182510,21178,138952,76661,22380,15141,6197,1042
2014,"서울특별시 동대문구 (1123000000)",여    ,181177,20023,132778,70491,28376,17342,8544,2490
2014,"서울특별시 동대문구 용신동(1123053600)",계    ,31197,2834,23353,12786,5010,3174,1484,352
2014,"서울특별시 동대문구 용신동(1123053600)",남    ,16094,1470,12335,6829,2289,1520,663,106
2014,"서울특별시 동대문구 용신동(1123053600)",여    ,15103,1364,11018,5957,2721,1654,821,246
2014,"서울특별시 동대문구 제기동(1123054500)",계    ,27189,2570,20013,10674,4606,2881,1381,344
2014,"서울특별시 동대문구 제기동(1123054500)",남    ,13956,1327,10600,5897,2029,1332,582,115
2014,"서울특별시 동대문구 제기동(1123054500)",여    ,13233,1243,9413,4777,2577,1549,799,229
2014,"서울특별시 동대문구 전농제1동(1123056000)",계    ,31510,3383,23430,12260,4697,2994,1401,302
2014,"서울특별시 동대문구 전농제1동(1123056000)",남    ,16045,1733,12243,6502,2069,1389,581,99
2014,"서울특별시 동대문구 전농제1동(1123056000)",여    ,15465,1650,11187,5758,2628,1605,820,203
2014,"서울특별시 동대문구 전농제2동(1123057000)",계    ,21056,2890,15360,8082,2806,1756,886,164
2014,"서울특별시 동대문구 전농제2동(1123057000)",남    ,10265,1482,7579,4001,1204,757,389,58
